A - Available,,,,,,,,,,,,,
NAM,OE,D2,D1,D0,A,U,F,P1,P0,C1,C0,Futur,
X,X,X,X,X,X,X,1,X,X,X,X,F,
X,X,X,X,X,X,1,0,X,X,X,X,U,
0,X,X,X,X,0,0,0,0,1,1,1,P0,
0,X,X,X,X,0,0,0,1,0,1,1,P0,
0,X,X,X,X,0,0,0,1,1,1,1,P0,
0,X,X,X,X,0,0,0,0,1,1,0,P1,
0,X,X,X,X,0,0,0,1,0,1,0,P1,
0,X,X,X,X,0,0,0,1,1,1,0,P1,
1,X,X,X,X,X,0,0,0,1,1,0,P4,
1,X,X,X,X,X,0,0,1,0,1,0,P4,
1,X,X,X,X,X,0,0,1,1,1,0,P4,
0,X,X,X,X,1,0,0,0,1,1,0,P4,
0,X,X,X,X,1,0,0,1,0,1,0,P4,
0,X,X,X,X,1,0,0,1,1,1,0,P4,
1,X,X,X,X,X,0,0,0,1,1,1,P3,
1,X,X,X,X,X,0,0,1,0,1,1,P3,
1,X,X,X,X,X,0,0,1,1,1,1,P3,
0,X,X,X,X,1,0,0,0,0,1,1,P2,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"P0 - Cable connected, no car, no auth",,,,,,,,,,,,,
NAM,OE,D2,D1,D0,A,U,F,P1,P0,C1,C0,Futur,
X,X,X,X,X,X,X,1,X,X,X,X,F,
X,X,X,X,X,X,1,0,X,X,X,X,U,
X,X,X,X,X,X,0,0,0,0,X,X,A,
0,X,X,X,X,0,0,0,0,1,1,0,P1,
0,X,X,X,X,0,0,0,1,0,1,0,P1,
0,X,X,X,X,0,0,0,1,1,1,0,P1,
0,X,X,X,X,1,0,0,0,1,1,1,P3,
0,X,X,X,X,1,0,0,1,0,1,1,P3,
0,X,X,X,X,1,0,0,1,1,1,1,P3,
1,X,X,X,X,X,0,0,0,1,1,1,P3,
1,X,X,X,X,X,0,0,1,0,1,1,P3,
1,X,X,X,X,X,0,0,1,1,1,1,P3,
1,X,X,X,X,X,0,0,0,1,1,0,P4,
1,X,X,X,X,X,0,0,1,0,1,0,P4,
1,X,X,X,X,X,0,0,1,1,1,0,P4,
,,,,,,,,,,,,,
"P1 - Cable connected, car connected, no auth",,,,,,,,,,,,,
NAM,OE,D2,D1,D0,A,U,F,P1,P0,C1,C0,Futur,
X,X,X,X,X,X,X,1,X,X,X,X,F,
X,X,X,X,X,X,1,0,X,X,X,X,U,
X,X,X,X,X,X,0,0,0,0,X,X,A,
0,X,X,X,X,0,0,0,0,1,1,1,P0,
0,X,X,X,X,0,0,0,1,0,1,1,P0,
0,X,X,X,X,0,0,0,1,1,1,1,P0,
0,X,X,X,X,1,0,0,0,1,1,0,P4,
0,X,X,X,X,1,0,0,1,0,1,0,P4,
0,X,X,X,X,1,0,0,1,1,1,0,P4,
1,X,X,X,X,X,0,0,0,1,1,0,P4,
1,X,X,X,X,X,0,0,1,0,1,0,P4,
1,X,X,X,X,X,0,0,1,1,1,0,P4,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"P2 - Cable not connected, user auth",,,,,,,,,,,,,
NAM,OE,D2,D1,D0,A,U,F,P1,P0,C1,C0,Futur,
X,X,X,X,X,X,X,1,X,X,X,X,F,
X,X,X,X,X,X,1,0,X,X,X,X,U,
0,X,X,X,X,0,0,0,0,0,X,X,A,
0,X,X,X,X,1,0,0,0,1,1,1,P3,
0,X,X,X,X,1,0,0,1,0,1,1,P3,
0,X,X,X,X,1,0,0,1,1,1,1,P3,
1,X,X,X,X,X,0,0,0,1,1,1,P3,
1,X,X,X,X,X,0,0,1,0,1,1,P3,
1,X,X,X,X,X,0,0,1,1,1,1,P3,
0,X,X,X,X,1,0,0,0,1,1,0,P4,
0,X,X,X,X,1,0,0,1,0,1,0,P4,
0,X,X,X,X,1,0,0,1,1,1,0,P4,
1,X,X,X,X,X,0,0,0,1,1,0,P4,
1,X,X,X,X,X,0,0,1,0,1,0,P4,
1,X,X,X,X,X,0,0,1,1,1,0,P4,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"P3 - Cable connected, no car, user auth",,,,,,,,,,,,,
NAM,OE,D2,D1,D0,A,U,F,P1,P0,C1,C0,Futur,
X,X,X,X,X,X,X,1,X,X,X,X,F,
X,X,X,X,X,X,1,0,X,X,X,X,U,
0,X,X,X,X,1,0,0,0,0,X,X,P2,
1,X,X,X,X,X,0,0,0,0,X,X,A,
0,X,X,X,X,0,0,0,0,1,1,1,P0,
0,X,X,X,X,0,0,0,1,0,1,1,P0,
0,X,X,X,X,0,0,0,1,1,1,1,P0,
0,X,X,X,X,1,0,0,0,1,1,0,P4,
0,X,X,X,X,1,0,0,1,0,1,0,P4,
0,X,X,X,X,1,0,0,1,1,1,0,P4,
1,X,X,X,X,X,0,0,0,1,1,0,P4,
1,X,X,X,X,X,0,0,1,0,1,0,P4,
1,X,X,X,X,X,0,0,1,1,1,0,P4,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"P4 - Ready to charge (User auth, Car connected)",,,,,,,,,,,,,
